title;slug;status;enabled;sku;price;stock;weight;description;coverImage;thumbnailImage;thumbnailHiddenImage;dimensions;origin;age;quote;quoteAuthor;quoteBackgroundColor;quoteExternalLinkURL;quoteExternalLinkLabel;textAndImageText;textAndImageImage;fullWidthImageImage;productCategory;productType;ageCategory;dimensionsRange;material;;;;
Set of six wooden dining chairs;Set of six wooden dining chairs;Enabled;Enabled;22241;1295;6;9,92 [lbs];No description yet;;;;H 35,43 x W 16,93 x D 16,54;Central Europe;1910;;;;;;;;;;;20th Century;;;;;;
Set of four wooden chairs with rattan seats;Set of four wooden chairs with rattan seats;Enabled;Enabled;22242;1195;4;6,17 [lbs];No description yet;;;;H 34,25 x W 16,93 x D 14,96;France;1900;;;;;;;;;;;20th Century;;;;;;
Wood white painted chair;Wood white painted chair;Enabled;Enabled;22244;225;1;9,48 [lbs];No description yet;;;;H 28,35 x W 25 x D 16,34;Austria;1920;;;;;;;;;;;20th Century;;;;;;
Wooden bench;Wooden bench;Enabled;Enabled;22245;1495;1;49,61 [lbs];No description yet;;;;H 29,13 x W 71,26 x D 15,35;France;1900;;;;;;;;;;;20th Century;;;;;;
Metal clock;Metal clock;Enabled;Enabled;22246;2295;1;56,45 [lbs];No description yet;;;;H 47,83 x W 47,83 x D 1,38;Central Europe;1860;;;;;;;;;;;19th Century;;;;;;
Metal clock;Metal clock;Enabled;Enabled;22247;2295;1;56,45 [lbs];No description yet;;;;H 47,83 x W 47,83 x D 1,38;Central Europe;1860;;;;;;;;;;;19th Century;;;;;;
Wooden ski;Wooden ski;Enabled;Enabled;22254;250;10;9,92 [lbs];No description yet;;;;H 83,46 x W 4,33 x D 3,35;Austria;1930;;;;;;;;;;;20th Century;;;;;;
Concrete planter;Concrete planter;Enabled;Enabled;22263;325;1;67,92 [lbs];No description yet;;;;H 14,57 x W 13,78 x D 16,54;France;1950;;;;;;;;;;;20th Century;;;;;;
Metal chair with wooden seat;Metal chair with wooden seat;Enabled;Enabled;22274;250;1;15,44 [lbs];No description yet;;;;H 18,31 x W 11,42 x D 11,42;France;1900;;;;;;;;;;;20th Century;;;;;;
Wooden folding table with tray top;Wooden folding table with tray top;Enabled;Enabled;22275;395;1;15,66 [lbs];No description yet;;;;H 29,53 x W 33,86 x D 19,69;France;1900;;;;;;;;;;;20th Century;;;;;;
